Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKNN,measureTreeSize
AAPL,3,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,150.0,7.0,0.0,95.54140127388536,4.45859872611465,0.0,0.9109039319010945,0.044585987261146494,0.21115394209236657,8.935618642008142,42.27276884724253,156.77510096199484,7518.0,-7361.224899038005,0.9985675220509226,47.88535031847134,-46.88678279642041,142.7534873892798,0.9092578814603809,91.05622417930118,0.9866666666666667,74.0,0.07317073170731707,6.0,0.926829268292683,76.0,0.013333333333333334,1.0,0.925,0.9866666666666667,0.9548387096774195,0.9127541598187858,0.9567479674796748,0.9190360934182591,0.9554140127388535,0.04191807777950391,0.9580819222204962,0.044585987261146494,0.9573889486309868,0.9554140127388535,0.9554321040300936,0.9127541598187857,0.9567479674796748,0.9367799489244578,0.9554067762223575,0.9554140127388535,0.023,0.0,0.022229,1.7E-4,22.229,0.17,7287.0,139222.0,21222.0,95.54140127388536,50.0,?,?,?
AAPL,3,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.961729097261721,0.01910828025477707,0.1382327032752274,3.829550846574919,27.67402329683714,156.77510096199484,3222.0,-3065.2248990380053,0.9985675220509226,20.522292993630572,-19.523725471579652,150.76583800225984,0.9602919617978334,96.16695321970052,0.9866666666666667,74.0,0.024390243902439025,2.0,0.975609756097561,80.0,0.013333333333333334,1.0,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.9618073628178767,0.9811382113821138,0.9670711811375573,0.9808917197452229,0.01861529698099529,0.9813847030190046,0.01910828025477707,0.9809807013405181,0.9808917197452229,0.9808963778397878,0.9618073628178767,0.9811382113821138,0.9718934410929316,0.9808637711778327,0.9808917197452229,0.029,0.0,0.027799,1.08E-4,27.799,0.108,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
AAPL,3,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.961772583394205,0.01910828025477707,0.1382327032752274,3.829550846574919,27.67402329683714,156.77510096199484,3222.0,-3065.2248990380053,0.9985675220509226,20.522292993630572,-19.523725471579652,150.76583800225987,0.9602919617978336,96.16695321970053,1.0,75.0,0.036585365853658534,3.0,0.9634146341463414,79.0,0.0,0.0,0.9615384615384616,1.0,0.9803921568627451,0.9624760906852248,0.9817073170731707,0.9615384615384616,0.9808917197452229,0.017477085598881465,0.9825229144011185,0.01910828025477707,0.9816266536011758,0.9808917197452229,0.9809010283703622,0.9624760906852249,0.9817073170731707,0.9724984942437983,0.9808793082450371,0.9808917197452229,0.024,0.0,0.022853000000000002,8.3E-5,22.853,0.083,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
AAPL,3,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,153.0,4.0,0.0,97.45222929936305,2.5477707006369426,0.0,0.9490590525632706,0.025477707006369428,0.15961737689352443,5.106067795433225,31.955209599977803,156.77510096199484,4296.0,-4139.224899038005,0.9985675220509226,27.363057324840764,-26.36448980278984,148.76275034901485,0.9475334417134704,94.8892709596007,1.0,75.0,0.04878048780487805,4.0,0.9512195121951219,78.0,0.0,0.0,0.9493670886075949,1.0,0.974025974025974,0.9502928490309814,0.975609756097561,0.9493670886075949,0.9745222929936306,0.023302780798508622,0.9766972192014914,0.025477707006369428,0.9758123034749657,0.9745222929936306,0.9745347009678219,0.9502928490309814,0.9756097560975611,0.9636414243317956,0.9745129870129869,0.9745222929936306,0.025,0.0,0.023827,1.18E-4,23.827,0.118,7287.0,139222.0,21222.0,97.45222929936305,50.0,?,?,?
MSFT,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1100.0,158.0,153.0,5.0,0.0,96.83544303797468,3.1645569620253164,0.0,0.9365053849863367,0.03164556962025317,0.17789201674120503,6.346025384101536,35.624025918858614,157.7081401402618,5370.0,-5212.291859859738,0.9981527856978595,33.9873417721519,-32.98918898645404,147.6881304874745,0.9347350030852816,93.6464854357703,0.9759036144578314,81.0,0.04,3.0,0.96,72.0,0.024096385542168676,2.0,0.9642857142857143,0.9759036144578314,0.970059880239521,0.9365809057883935,0.9679518072289157,0.9537081417895815,0.9683544303797469,0.03245081592191552,0.9675491840780843,0.03164556962025317,0.9684094130296663,0.9683544303797469,0.9683429844075336,0.9365809057883935,0.9679518072289158,0.9533916484525361,0.9682514166298277,0.9683544303797469,0.036,0.0,0.033433,1.34E-4,33.433,0.134,7287.0,139097.0,21347.0,96.83544303797468,50.0,?,?,?
MSFT,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1100.0,158.0,149.0,9.0,0.0,94.30379746835443,5.69620253164557,0.0,0.8857096929754059,0.056962025316455694,0.23866718525271902,11.422845691382765,47.79464615206936,157.7081401402618,9666.0,-9508.291859859739,0.9981527856978595,61.177215189873415,-60.17906240417556,139.6721227652446,0.8840007769952191,88.56367378438652,0.9518072289156626,79.0,0.06666666666666667,5.0,0.9333333333333333,70.0,0.04819277108433735,4.0,0.9404761904761905,0.9518072289156626,0.9461077844311376,0.8857811175581958,0.942570281124498,0.9204684924145042,0.9430379746835443,0.05789741243454832,0.9421025875654515,0.056962025316455694,0.9430725933890491,0.9430379746835443,0.9430173719335604,0.8857811175581958,0.9425702811244979,0.9176488532160699,0.9428525499336896,0.9430379746835443,0.031,0.0,0.029629000000000003,1.58E-4,29.629,0.158,7287.0,139097.0,21347.0,94.30379746835443,50.0,?,?,?
MSFT,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.9615729787060455,0.01910828025477707,0.1382327032752274,3.8330109233281986,27.691635013034425,156.6312583143338,3222.0,-3065.368741685666,0.9976513268428904,20.522292993630572,-19.52464166678768,150.61968453957118,0.9593610480227464,96.1619578113212,1.0,83.0,0.04054054054054054,3.0,0.9594594594594594,71.0,0.0,0.0,0.9651162790697675,1.0,0.9822485207100593,0.9622837125462552,0.9797297297297297,0.9651162790697675,0.9808917197452229,0.02143226028576347,0.9785677397142365,0.01910828025477707,0.9815582876610873,0.9808917197452229,0.9808636480011229,0.9622837125462551,0.9797297297297296,0.9714564579722561,0.9807794327688227,0.9808917197452229,0.029,0.0,0.027762000000000002,1.58E-4,27.762,0.158,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
MSFT,1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,155.0,2.0,0.0,98.72611464968153,1.2738853503184713,0.0,0.9744007826512311,0.012738853503184714,0.11286652959662007,2.5553406155521325,22.61012530844112,156.6312583143338,2148.0,-1991.3687416856662,0.9976513268428904,13.681528662420382,-12.683877335577492,152.62354246449206,0.9721244742961278,97.44130520754747,1.0,83.0,0.02702702702702703,2.0,0.972972972972973,72.0,0.0,0.0,0.9764705882352941,1.0,0.988095238095238,0.9747202117818025,0.9864864864864865,0.9764705882352941,0.9872611464968153,0.014288173523842315,0.9857118264761577,0.012738853503184714,0.9875608842263021,0.9872611464968153,0.9872497205845081,0.9747202117818023,0.9864864864864865,0.9808263311004145,0.9871983039791259,0.9872611464968153,0.031,0.001,0.029366,1.6800000000000002E-4,29.366,0.168,7287.0,139222.0,21222.0,98.72611464968153,50.0,?,?,?
MSFT,1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.9617415319632848,0.01910828025477707,0.1382327032752274,3.8330109233281986,27.691635013034425,156.6312583143338,3222.0,-3065.368741685666,0.9976513268428904,20.522292993630572,-19.52464166678768,150.6196845395712,0.9593610480227466,96.16195781132122,0.963855421686747,80.0,0.0,0.0,1.0,74.0,0.03614457831325301,3.0,1.0,0.963855421686747,0.9815950920245399,0.96244616111739,0.9819277108433735,0.982963701941524,0.9808917197452229,0.01703629805847594,0.982963701941524,0.01910828025477707,0.9816361981967078,0.9808917197452229,0.9809056940289179,0.96244616111739,0.9819277108433736,0.9726297476307619,0.9808637711778327,0.9808917197452229,0.046,0.001,0.045439999999999994,1.1700000000000001E-4,45.44,0.117,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
MSFT,1,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.9617415319632848,0.01910828025477707,0.1382327032752274,3.8330109233281986,27.691635013034425,156.6312583143338,3222.0,-3065.368741685666,0.9976513268428904,20.522292993630572,-19.52464166678768,150.6196845395712,0.9593610480227466,96.16195781132122,0.963855421686747,80.0,0.0,0.0,1.0,74.0,0.03614457831325301,3.0,1.0,0.963855421686747,0.9815950920245399,0.96244616111739,0.9819277108433735,0.982963701941524,0.9808917197452229,0.01703629805847594,0.982963701941524,0.01910828025477707,0.9816361981967078,0.9808917197452229,0.9809056940289179,0.96244616111739,0.9819277108433736,0.9726297476307619,0.9808637711778327,0.9808917197452229,0.046,0.0,0.033430999999999995,8.999999999999999E-5,33.431,0.09,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
MSFT,1,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,151.0,6.0,0.0,96.17834394904459,3.821656050955414,0.0,0.9235017053759949,0.03821656050955414,0.19549056373532236,7.661584412878112,39.135477967652434,156.7837941459341,6444.0,-6287.216205854066,0.9986228926492619,41.044585987261144,-40.045963094611885,144.75899133868393,0.9220317919661397,92.33032796995747,0.9512195121951219,78.0,0.02666666666666667,2.0,0.9733333333333334,73.0,0.04878048780487805,4.0,0.975,0.9512195121951219,0.9629629629629629,0.9238020919775037,0.9622764227642276,0.9529167313966133,0.9617834394904459,0.03723059396199058,0.9627694060380094,0.03821656050955414,0.9621267267764083,0.9617834394904459,0.9617989595361368,0.9238020919775038,0.9622764227642275,0.9446011350003397,0.9617446393762183,0.9617834394904459,0.03,0.0,0.029207,1.01E-4,29.207,0.101,7287.0,139222.0,21222.0,96.17834394904459,50.0,?,?,?
MSFT,1,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902080019E7,1101.0,157.0,154.0,3.0,0.0,98.08917197452229,1.910828025477707,0.0,0.9616418275103836,0.01910828025477707,0.1382327032752274,3.830792206439056,27.672961855903754,156.7837941459341,3222.0,-3065.2162058540657,0.9986228926492619,20.522292993630572,-19.52367010098131,150.77139274230905,0.9603273423077009,96.16516398497875,1.0,82.0,0.04,3.0,0.96,72.0,0.0,0.0,0.9647058823529412,1.0,0.9820359281437125,0.9623500647159658,0.98,0.9647058823529412,0.9808917197452229,0.02089171974522293,0.979108280254777,0.01910828025477707,0.9815661296365681,0.9808917197452229,0.9808683685534169,0.962350064715966,0.9800000000000001,0.9715860087391684,0.9808138824392032,0.9808917197452229,0.027,0.0,0.026035,1.26E-4,26.035,0.126,7287.0,139222.0,21222.0,98.08917197452229,50.0,?,?,?
