iterations, train error, test error
100, 0.7602228852228852, 0.7567567567567568
100, 0.7607932607932608, 0.7578828828828829
100, 0.7657072657072657, 0.7624897624897625
100, 0.7652246402246402, 0.7617731367731367
100, 0.765005265005265, 0.7617731367731367
100, 0.7641277641277642, 0.7613636363636364
100, 0.7650930150930151, 0.7617731367731367
100, 0.7655317655317655, 0.7623873873873874
100, 0.7654878904878905, 0.7621826371826372
100, 0.7655317655317655, 0.7623873873873874
100, 0.7654878904878905, 0.7621826371826372
100, 0.7655317655317655, 0.7623873873873874
100, 0.7655317655317655, 0.7623873873873874
100, 0.7655317655317655, 0.7623873873873874
