iterations, train error, test error
50, 0.768997893997894, 0.7657657657657657
100, 0.23977711477711477, 0.24324324324324326
150, 0.23977711477711477, 0.24324324324324326
200, 0.21042471042471042, 0.21283783783783783
250, 0.7602228852228852, 0.7567567567567568
300, 0.23977711477711477, 0.24324324324324326
350, 0.234994734994735, 0.23843161343161343
400, 0.23977711477711477, 0.24324324324324326
450, 0.7602228852228852, 0.7567567567567568
500, 0.233985608985609, 0.2375102375102375
550, 0.7602228852228852, 0.7567567567567568
600, 0.7602228852228852, 0.7567567567567568
650, 0.23977711477711477, 0.24324324324324326
700, 0.23977711477711477, 0.24324324324324326
750, 0.7604422604422605, 0.7575757575757576
800, 0.23977711477711477, 0.24324324324324326
850, 0.23977711477711477, 0.24324324324324326
900, 0.7602667602667603, 0.7568591318591319
950, 0.7602228852228852, 0.7567567567567568
1000, 0.7602228852228852, 0.7567567567567568
