setsize, train error, test error
0, 0.7564721369021501, 0.7567567567567568
1, 0.24396665204036858, 0.24324324324324326
2, 0.24148018136609625, 0.2375102375102375
3, 0.7574594120228171, 0.7567567567567568
4, 0.759104870557262, 0.7567567567567568
5, 0.24162644434693578, 0.24262899262899262
6, 0.24202344386635744, 0.24324324324324326
7, 0.2399078543220711, 0.24324324324324326
8, 0.7609575349812295, 0.7567567567567568
9, 0.23977711477711477, 0.24324324324324326
