setsize, train error, test error
0, 0.7648091268100043, 0.7624897624897625
1, 0.7630539710399298, 0.763001638001638
2, 0.759104870557262, 0.763001638001638
3, 0.7632733655111891, 0.7625921375921376
4, 0.7641070645019745, 0.7622850122850123
5, 0.7631271025303495, 0.7617731367731367
6, 0.7634927599824485, 0.7623873873873874
7, 0.765577007459412, 0.7619778869778869
8, 0.7664667739261859, 0.7621826371826372
9, 0.7653562653562653, 0.7618755118755118
